ceil,wall,eff_floor,cavity_ratio,mf
70,10,0,5,0.97
70,10,0,6,0.977
70,10,0,7,0.982
70,10,0,8,0.986
70,10,0,9,0.989
70,10,0,10,0.992
50,50,0,1,0.916
50,50,0,2,0.926
50,50,0,3,0.936
50,50,0,4,0.945
50,50,0,5,0.951
50,50,0,6,0.955
50,50,0,7,0.959
50,50,0,8,0.963
50,50,0,9,0.966
50,50,0,10,0.969
50,30,0,1,0.923
50,30,0,2,0.938
50,30,0,3,0.95
50,30,0,4,0.961
50,30,0,5,0.967
50,30,0,6,0.972
50,30,0,7,0.975
50,30,0,8,0.978
50,30,0,9,0.98
50,30,0,10,0.982
50,10,0,1,0.929
50,10,0,2,0.949
50,10,0,3,0.964
50,10,0,4,0.974
50,10,0,5,0.98
50,10,0,6,0.985
50,10,0,7,0.988
50,10,0,8,0.991
50,10,0,9,0.993
50,10,0,10,0.995
30,50,0,1,0.948
30,50,0,2,0.954
30,50,0,3,0.958
30,50,0,4,0.961
30,50,0,5,0.964
30,50,0,6,0.966
30,50,0,7,0.968
30,50,0,8,0.97
30,50,0,9,0.971
30,50,0,10,0.973
30,30,0,1,0.954
30,30,0,2,0.963
30,30,0,3,0.969
30,30,0,4,0.974
30,30,0,5,0.977
30,30,0,6,0.979
30,30,0,7,0.981
30,30,0,8,0.983
30,30,0,9,0.985
30,30,0,10,0.987
30,10,0,1,0.96
30,10,0,2,0.971
30,10,0,3,0.979
30,10,0,4,0.984
30,10,0,5,0.988
30,10,0,6,0.991
30,10,0,7,0.993
30,10,0,8,0.995
30,10,0,9,0.996
30,10,0,10,0.997
10,50,0,1,0.979
10,50,0,2,0.978
10,50,0,3,0.976
10,50,0,4,0.975
10,50,0,5,0.975
10,50,0,6,0.975
10,50,0,7,0.975
10,50,0,8,0.976
10,50,0,9,0.976
10,50,0,10,0.977
10,30,0,1,0.983
10,30,0,2,0.983
10,30,0,3,0.984
10,30,0,4,0.985
10,30,0,5,0.985
10,30,0,6,0.986
10,30,0,7,0.987
10,30,0,8,0.988
10,30,0,9,0.988
10,30,0,10,0.989
10,10,0,1,0.987
10,10,0,2,0.991
10,10,0,3,0.993
10,10,0,4,0.994
10,10,0,5,0.995
10,10,0,6,0.996
10,10,0,7,0.997
10,10,0,8,0.998
10,10,0,9,0.998
10,10,0,10,0.999
80,70,20,1,1
80,70,20,2,1
80,70,20,3,1
80,70,20,4,1
80,70,20,5,1
80,70,20,6,1
80,70,20,7,1
80,70,20,8,1
80,70,20,9,1
80,70,20,10,1
80,50,20,1,1
80,50,20,2,1
80,50,20,3,1
80,50,20,4,1
80,50,20,5,1
80,50,20,6,1
80,50,20,7,1
80,50,20,8,1
80,50,20,9,1
80,50,20,10,1
80,30,20,1,1
80,30,20,2,1
80,30,20,3,1
80,30,20,4,1
80,30,20,5,1
80,30,20,6,1
80,30,20,7,1
80,30,20,8,1
80,30,20,9,1
80,30,20,10,1
80,10,20,1,1
80,10,20,2,1
80,10,20,3,1
80,10,20,4,1
80,10,20,5,1
80,10,20,6,1
80,10,20,7,1
80,10,20,8,1
80,10,20,9,1
80,10,20,10,1
70,70,20,1,1
70,70,20,2,1
70,70,20,3,1
70,70,20,4,1
70,70,20,5,1
70,70,20,6,1
70,70,20,7,1
70,70,20,8,1
70,70,20,9,1
70,70,20,10,1
70,50,20,1,1
70,50,20,2,1
70,50,20,3,1
70,50,20,4,1
70,50,20,5,1
70,50,20,6,1
70,50,20,7,1
70,50,20,8,1
70,50,20,9,1
70,50,20,10,1
70,30,20,1,1
70,30,20,2,1
70,30,20,3,1
70,30,20,4,1
70,30,20,5,1
70,30,20,6,1
70,30,20,7,1
70,30,20,8,1
70,30,20,9,1
70,30,20,10,1
70,10,20,1,1
70,10,20,2,1
70,10,20,3,1
70,10,20,4,1
70,10,20,5,1
70,10,20,6,1
70,10,20,7,1
70,10,20,8,1
70,10,20,9,1
70,10,20,10,1
50,50,20,1,1
50,50,20,2,1
50,50,20,3,1
50,50,20,4,1
50,50,20,5,1
50,50,20,6,1
50,50,20,7,1
50,50,20,8,1
50,50,20,9,1
50,50,20,10,1
50,30,20,1,1
50,30,20,2,1
50,30,20,3,1
50,30,20,4,1
50,30,20,5,1
50,30,20,6,1
50,30,20,7,1
50,30,20,8,1
50,30,20,9,1
50,30,20,10,1
50,10,20,1,1
50,10,20,2,1
50,10,20,3,1
50,10,20,4,1
50,10,20,5,1
50,10,20,6,1
50,10,20,7,1
50,10,20,8,1
50,10,20,9,1
50,10,20,10,1
30,50,20,1,1
30,50,20,2,1
30,50,20,3,1
30,50,20,4,1
30,50,20,5,1
30,50,20,6,1
30,50,20,7,1
30,50,20,8,1
30,50,20,9,1
30,50,20,10,1
30,30,20,1,1
30,30,20,2,1
